votes,name,seen,star,date,text
1,bugz,看过,推荐,2020-01-31 23:49:57,拍摄得很美。 两位主角，演技很不错。 4星
1,0o0o0oo,看过,推荐,2020-11-17 19:11:58,向上看，天空如此广阔
1,汪金卫,看过,还行,2019-12-14 18:12:59,【台北乐声影城】特映场。男女搭配，干活不累。电影以历史上真实的气象学家为原型，编排了一段还算精彩的故事。用倒叙手法在片头就抓人眼球。编剧与时俱进地加入了独立、智慧的女性角色，虚构的女主角反倒比男主更加出彩，在地面更活泼，在高空更沉稳机智。高空热气球漂浮的CG特效不错，大银幕观影效果有加成。三星半
0,周扒皮,看过,2020-11-13 13:05:36,,"什么是极限探险的终点？
演员挺有CP感的
晕车人士看得耳鸣
小雀斑也太废了吧
女主简直神力附体"
1,UrthónaD'Mors,看过,还行,2020-03-23 17:27:54,啊才发现是霍金夫妇的合作，啧啧，以及观感一般
0,深夜声噎,看过,推荐,2020-11-14 19:15:53,老爸说了句什么有点感动，然后也忘了。冲了IMAX，老罗直播买的万达券有点香，现在问题是下个月底之前能有电影给我用完？焦虑。
3,Mr. Infamous,看过,还行,2020-11-17 15:37:12,人类向星月走近的故事，再大的屏幕也装载不下，幸好看了IMAX，有几幕云也好，雪也好，蝶也好，都像是萦绕在身，但对恐高症而言，惊惧被放大的效果也很强烈。Amelia这名字承载了两个女飞行员的传奇，这次也更像是女性的独角戏，仿佛当初《万物理论》角色的倾斜有了弥补。救赎与抗衡是故事最核心的高光，只是《地心引力》珠玉在前，同类戏份都会令人先有联想。话说，当她九死一生回到篮子唤醒小雀斑时，意外地想到莫文蔚。三星半。
2,无事公,看过,还行,2019-12-29 13:10:10,我果然还是喜欢冒险片，在这冬天看，脚都出汗了。
1,Angel,看过,还行,2020-11-15 11:52:36,真大胆。但仍不够好看
2,珠我好运,看过,还行,2020-11-13 16:25:49,"大女主探险类伪传记片，视觉效果不错，不知为何普通厅整体屏幕比较暗。
"
1,许泽,看过,推荐,2020-01-04 11:58:37,当作纯冒险片看的，就还不错，不考虑真实历史和可能会有的bug。
2,kylegun,看过,力荐,2020-11-14 11:47:30,云上飞蝶，悬浮雪花，头顶掉鞋，缺氧冻残只为了更接近星空，科学冒险之浪漫；虽然刚升天时风暴到处乱飞一段有点过火了，但整体还算肉紧刺激，大银幕体验很加分；《Rogue One》之后就希望Felicity Jones能多演些女中豪杰，这部算做到了
2,TWO,看过,很差,2019-12-07 19:36:59,再见，小雀斑。
3,Laven,看过,推荐,2020-03-14 16:10:04,云中历险记。穿越暴风雨和云雾，触及云层上的蝴蝶，冰雪和星辰。好美啊，大屏幕看肯定爽爆。菲总，天空中的爱丽丝！我愿称之为一部甜美的电影。
3,连城易脆,看过,推荐,2020-11-15 13:10:59,我有【科学家冒险家情结】，因此纵然在叙事策略上这部电影非常套路化，甚至到了顽疾的地步，但是仍然极为打动我，因为我对那些人类历史上的科学家和冒险家都报以最崇高的敬意和尊重！是他们，不断地开拓人类在各个维度上的边界，最大程度地扩展了人类的视野和认知，也正是他们使得人类这样一个原本渺小的物种而显得那样光辉而伟大，一切为了探索未知领域而献身的科学家和冒险家一并构成了【人类群星闪耀时】！另外菲丽希缇·琼斯在空中的几场戏可看性还是极强的，和埃迪·雷德梅恩 一起充分展现了“科学浪漫主义”，皮埃尔那纵身一跃也令我唏嘘。片尾男女主角始终没有接吻真的可以给个好评！而就在5天前的11月10日，中国的奋斗者号载人潜水器也在马里亚纳海沟成功下潜突破10000米，这是多么伟大的壮举！我再次向所有的科技工作者表达我深深的敬意！
3,拯救宇宙太累,看过,力荐,2020-11-14 23:53:51,恐高症的人慎入
5,seamouse,看过,推荐,2019-10-25 06:29:17,没多铺垫，开始就飞，实在有些出乎意料，当然，人物前史渐渐在空中闪回展出，让科学家和女汉子搭配出戏渐有了说服力。
